"","df_name","sum_avg","sum_min","sum_max","sum_med","sum_num_snps"
"1","3RAD",50515.5295834495,1,6673692,10.8571428571429,2919
"2","GATK",65409.4468310168,1,2132344.71428571,27.2857142857143,2188
"3","Overlap",440103.857117584,1,7218965.85714286,35918.6785714286,325.428571428571
"4","Samtools",36371.1677096932,0.5,922021.785714286,237.785714285714,3978.14285714286
